title;price;square_meters;price_per_m2;location;link;first_photo;processing_date;bathrooms;rooms
Lotes En Venta ;70000.0;800;87.5;España 1502 1500, Monte Grande, Es...;https://terreno.mercadolibre.com.ar/MLA-1392605293-lotes-en-venta-_JM#position=35&search_layout=grid&type=item&tracking_id=f42d0df7-28ac-4f8b-9dac-9cc0032a053c;https://http2.mlstatic.com/D_NQ_NP_868399-MLA72320116095_102023-W.jpg;2023-10-19;;
Terreno - Monte Grande;53000.0;600;88.33333333333333;Perez Iglesias Al 600, Monte Grand...;https://terreno.mercadolibre.com.ar/MLA-918521879-terreno-monte-grande-_JM#position=47&search_layout=grid&type=item&tracking_id=5a04b11b-320f-4e9d-a533-bc33b993a718;https://http2.mlstatic.com/D_NQ_NP_657917-MLA45757985535_042021-W.jpg;2023-10-19;;
Constanzo 686 - Monte Grande;65000.0;720;90.27777777777777;Constanzo 686, Monte Grande, Esteb...;https://terreno.mercadolibre.com.ar/MLA-1120885867-constanzo-686-monte-grande-_JM#position=10&search_layout=grid&type=item&tracking_id=a0f37ccb-6657-4fb1-b822-34bdb647ee84;https://http2.mlstatic.com/D_NQ_NP_805285-MLA48945687793_012022-W.jpg;2023-10-19;;
Venta De Lote Barrio Santa Ines;74000.0;815;90.79754601226993;Juana De Arco 7100, Monte Grande, ...;https://terreno.mercadolibre.com.ar/MLA-1378866735-venta-de-lote-barrio-santa-ines-_JM#position=41&search_layout=grid&type=item&tracking_id=b5a2d9c6-68cb-4e1a-b49c-899588ae8677;https://http2.mlstatic.com/D_NQ_NP_965762-MLA70607693224_072023-W.jpg;2023-10-19;;
Lote Con Pileta En Venta;42000.0;456;92.10526315789474;Lisandro De La Torre 840, Monte Gr...;https://terreno.mercadolibre.com.ar/MLA-1125086356-lote-con-pileta-en-venta-_JM#position=40&search_layout=grid&type=item&tracking_id=5a04b11b-320f-4e9d-a533-bc33b993a718;https://http2.mlstatic.com/D_NQ_NP_927415-MLA49212774840_022022-W.jpg;2023-10-19;;
Lote De 12 X 36;40000.0;432;92.5925925925926;Bolivar Y Colón, Monte Grande, G.b...;https://terreno.mercadolibre.com.ar/MLA-1307406372-lote-de-12-x-36-_JM#position=21&search_layout=grid&type=item&tracking_id=67367561-6d7f-4563-96ab-57ecf12b33ea;https://http2.mlstatic.com/D_NQ_NP_835507-MLA53285813845_012023-W.jpg;2023-10-19;;
Terreno - Canning Village;59000.0;626;94.24920127795527;El Deslinde 1600, Monte Grande, Es...;https://terreno.mercadolibre.com.ar/MLA-1359570583-terreno-canning-village-_JM#position=21&search_layout=grid&type=item&tracking_id=e025942f-3cd3-434a-9c0b-59d20ad3ee7d;https://http2.mlstatic.com/D_NQ_NP_657126-MLA54118196694_032023-W.jpg;2023-10-19;;
Lote Con Excelente Ubicación;50000.0;529;94.5179584120983;Alvear 1632, Monte Grande, Esteban...;https://terreno.mercadolibre.com.ar/MLA-935718131-lote-con-excelente-ubicacion-_JM#position=47&search_layout=grid&type=item&tracking_id=36b82243-b302-4da7-89d5-a97e8cc4ad74;https://http2.mlstatic.com/D_NQ_NP_967160-MLA29587289345_032019-W.jpg;2023-10-19;;
Terreno - Monte Grande;20000.0;210;95.23809523809524;Navarro 3369, Monte Grande, Esteba...;https://terreno.mercadolibre.com.ar/MLA-1515114166-terreno-monte-grande-_JM#position=1&search_layout=grid&type=item&tracking_id=dcbad6c3-5469-47c4-a943-66c465431961;https://http2.mlstatic.com/D_NQ_NP_818971-MLA71875996041_092023-W.jpg;2023-10-19;;
Venta Lote Interno De 1000 M2 En Lagos De Canning;99000.0;1013;97.72951628825271;Sargento Cabral 5600, Esteban Eche...;https://terreno.mercadolibre.com.ar/MLA-1175024241-venta-lote-interno-de-1000-m2-en-lagos-de-canning-_JM#position=48&search_layout=grid&type=item&tracking_id=13800304-7dc6-4c99-bf49-06248a585521;https://http2.mlstatic.com/D_NQ_NP_626980-MLA51667679018_092022-W.jpg;2023-10-19;;
